Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
27.2,6,151.9,40.87589305988557,0.0,0.0,0.0,0.3,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1526,66,420,152.6,128.9023747734006,152.6,0.0249584913253784,10,16615.82222222222
20.0,6,64.0,12225.083797254363,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,8.179903030395507e-05,100,0.0
0.24,47,65.04,7837.623096328132,0.0,0.01,0.0,0.0,0.01,0.0,0.0,1,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.99,0.99,57642,60,592,576.42,89.0925270931204,576.42,0.0001289105415344,100,7937.478383838392
39.68,6,63.96,19770.46429413151,0.0,0.96,0.0,0.03,0.08,0.0,0.0,8,96,0,0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7782,66,204,77.82,22.316538234858,77.82,5.059003829956055e-05,100,498.0278787878789
20.0,6,64.0,28612.48379834913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.5259723663330075e-05,100,0.0
32.0,6,115.2,65.93697925509505,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,837,66,128,83.7,25.03797116381437,83.7,0.0289089918136596,10,626.9
8.12,17,63.77,3139.026179107605,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.0,0.0,0.0,1.0,1.0,54906,60,554,549.06,49.39999999999992,549.06,0.000318579673767,100,2440.3599999999924
15.2,17,92.0,52.80304155703549,0.0,0.0,0.0,0.2,0.4,0.0,0.0,4,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1502,60,336,150.2,88.0161601323555,150.2,0.0189853906631469,10,7746.844444444445
19.72,6,64.63,4886.415956009134,0.0,0.95,0.0,0.01,0.02,0.0,0.0,2,95,0,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.01,0.0,0.02,0.0,0.0,0.98,0.98,6497,60,349,64.97,35.08876334571098,64.97,0.0002046489715576,100,1231.2213131313106
0.24,47,65.91,5644.5610776912,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,58668,60,592,586.68,53.19999999999989,586.68,0.000178780555725,100,2830.239999999988
34.96,6,71.36,1466.857850303213,0.01,0.37,0.03,0.23,0.67,0.0,0.0,67,37,1,3,0.92,0.03,0.01,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,39583,60,1514,395.83,553.7704198300843,395.83,0.0006831407546997,100,306661.67787878786
