Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
29.6,6,113.9,56.9742018213036,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,920,66,214,92.0,51.08380913318383,92.0,0.0175518989562988,10,2609.555555555556
18.4,6,152.8,24.726163147835702,0.0,0.1,0.0,0.5,0.6,0.0,0.0,6,1,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.1,0.0,1.0,1.0,1336,60,218,133.6,56.01428389259297,133.6,0.0453407049179077,10,3137.6000000000004
46.0,6,93.5,12905.55076923077,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10572,94,4254,1057.2,1312.91675288268,1057.2,7.748603820800781e-05,10,1723750.4
18.8,6,76.7,40.84687330790896,0.0,0.1,0.0,0.4,0.4,0.0,0.0,4,1,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,1427,60,230,142.7,67.90524443827753,142.7,0.0246626853942871,10,4611.122222222221
24.8,6,166.6,118.03436650475874,0.0,0.0,0.0,0.1,0.7,0.0,0.0,7,0,0,0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,921,66,214,92.1,51.05215198424276,92.1,0.0084721088409423,10,2606.3222222222225
32.0,6,64.0,346636.69421487604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,2.9802322387695312e-06,10,0.0
14.4,17,70.4,79.22914907563248,0.0,0.1,0.0,0.2,0.2,0.0,0.0,2,1,0,0,0.1,0.1,0.4,0.0,0.0,0.1,0.0,0.3,0.5,0.0,0.0,0.2,0.0,1.0,1.0,1262,70,227,126.2,57.27865609844949,126.2,0.0128151178359985,10,3280.844444444445
29.6,6,82.7,68.97267110774185,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,19738,66,8754,1973.8,2538.3649067854685,1973.8,0.0144990921020507,10,6443296.399999999
32.0,6,97.4,1502.419314396246,0.1,0.0,0.0,0.0,1.0,0.0,0.0,10,0,1,0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13692,66,4410,1369.2,1439.9330848650186,1369.2,0.0007415056228637,10,2073407.288888889
29.6,6,191.5,487.9707750657328,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,744,60,156,74.4,28.733255993708752,74.4,0.0020493984222412,10,825.6
32.0,6,97.4,1449.7110465920089,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15140,66,4410,1514.0,1182.287049183347,1514.0,0.0006984949111938,10,1397802.6666666667
32.0,6,97.6,1595.1563094242033,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12244,66,1514,1224.4,610.5304069231752,1224.4,0.000642704963684,10,372747.37777777785
29.6,6,233.4,255.83292161491207,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,808,66,214,80.8,46.80170937049201,80.8,0.0048177003860473,10,2190.4
29.6,6,67.7,1275.83391634981,0.1,0.0,0.0,0.1,0.9,0.0,0.0,9,0,1,0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,11191,66,1514,1119.1,643.5799958910401,1119.1,0.000783896446228,10,414195.2111111112
29.6,6,199.5,144.2189052673564,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,898,66,214,89.8,52.00384601161725,89.8,0.0083822011947631,10,2704.399999999999
32.0,6,64.0,697.0524496443528,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18036,1514,2962,1803.6,610.5304069231751,1803.6,0.0022479057312011,10,372747.3777777778
29.6,6,152.8,229.1430975235328,0.1,0.0,0.0,0.4,0.9,0.0,0.0,9,0,1,0,0.0,0.6,0.1,0.0,0.0,0.1,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1072,66,312,107.2,77.11434511309957,107.2,0.008609390258789,10,5946.622222222224
32.0,6,97.2,1316.8515902169477,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10796,66,1514,1079.6,699.4504509494102,1079.6,0.0008734941482543,10,489230.93333333335
30.8,6,86.7,323.4573651780275,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10896,60,1514,1089.6,683.9940220661451,1089.6,0.003154182434082,10,467847.82222222217
