Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
32.0,6,197.6,256.65322506623914,0.0,0.0,0.0,0.2,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2064,66,1364,206.4,408.10107680437306,206.4,0.004211401939392,10,166546.4888888888
21.2,6,142.8,26.321545139684225,0.0,0.0,0.1,0.1,0.6,0.0,0.0,6,0,0,1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1344,60,263,134.4,87.63839848427679,134.4,0.0397753000259399,10,7680.488888888888
20.0,6,64.0,38593.15421420684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.591133117675781e-05,100,0.0
20.04,6,64.36,3372.0064959078995,0.0,0.72,0.26,0.0,0.02,0.0,0.0,2,72,0,26,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,1.0,1.0,6100,60,154,61.0,9.413079230839427,61.0,0.0002965593338012,100,88.60606060606061
20.0,6,64.0,43667.922956793336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.290964126586914e-05,100,0.0
20.0,6,64.0,28571.553133514983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.499984741210938e-05,100,0.0
8.0,17,118.0,62.6507377433627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1424,60,230,142.4,66.43158552643129,142.4,0.0159631013870239,10,4413.155555555556
27.2,6,114.0,155.11307197035535,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,738,60,156,73.8,28.989653326661223,73.8,0.0064470052719116,10,840.4000000000001
16.8,17,112.7,21.52519096192257,0.1,0.0,0.0,0.1,0.4,0.0,0.0,4,0,1,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,884,60,230,88.4,57.88724672441533,88.4,0.046457290649414,10,3350.933333333334
23.6,6,114.4,85.29220733004308,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,6850,60,2962,685.0,1022.618968900712,685.0,0.0117246150970458,10,1045749.5555555556
20.0,6,64.0,10219.54095804298,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,9.785175323486329e-05,100,0.0
32.0,6,62.4,139.870277552681,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11924,66,2882,1192.4,1110.6453779472347,1192.4,0.0078994989395141,10,1233533.1555555556
20.0,6,64.0,23523.85866517106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.25100326538086e-05,100,0.0
22.4,6,64.5,63.88594580597992,0.1,0.0,0.0,0.3,0.6,0.0,0.0,6,0,1,0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1458,60,441,145.8,130.65374085727512,145.8,0.0156529903411865,10,17070.400000000005
32.8,6,151.0,230.9206426109649,0.0,0.1,0.0,0.6,0.9,0.0,0.0,9,1,0,0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4102,66,1643,410.2,651.2814377142274,410.2,0.0043540000915527,10,424167.5111111112
20.0,6,64.0,37766.10840986854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.647876739501953e-05,100,0.0
31.2,6,97.1,87.42103705432883,0.1,0.2,0.0,0.3,0.8,0.0,0.0,8,2,1,0,0.3,0.6,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1369,66,583,136.9,161.6432629107828,136.9,0.0116808891296386,10,26128.544444444447
20.0,6,64.0,51388.189169321246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.945972442626953e-05,100,0.0
19.8,6,63.36,17965.835689197294,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,5.566120147705078e-05,100,0.0
25.6,6,73.4,77.95321659164321,0.1,0.1,0.0,0.1,0.7,0.0,0.0,7,1,1,0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,846,60,262,84.6,62.47523953980133,84.6,0.0129541158676147,10,3903.155555555555
20.12,6,63.85,20467.0082467184,0.0,0.99,0.0,0.0,0.01,0.0,0.0,1,99,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6006,60,66,60.06,0.599999999999999,60.06,4.8859119415283205e-05,100,0.3599999999999987
32.8,6,64.0,83.25897341225887,0.0,0.1,0.0,0.3,0.9,0.0,0.0,9,1,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16166,74,5858,1616.6,1630.544639751461,1616.6,0.0120314121246337,10,2658675.822222222
19.4,6,66.93,2289.1673579880367,0.0,0.96,0.0,0.0,0.01,0.0,0.0,1,96,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.96,0.02,0.0,0.01,0.01,0.0,0.99,0.99,6312,60,301,63.12,24.628258385665664,63.12,0.000436840057373,100,606.551111111111
20.0,6,64.0,31396.841080919232,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0,99,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.216981887817383e-05,100,0.0
20.0,6,64.0,29560.25089858341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.38292121887207e-05,100,0.0
27.2,6,97.1,45.13450053266472,0.1,0.1,0.0,0.3,0.7,0.0,0.0,7,1,1,0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.1,0.0,1.0,1.0,968,66,214,96.8,50.20801175554002,96.8,0.0221560955047607,10,2520.844444444445
28.8,6,57.6,710.8748855970985,0.0,0.0,0.0,0.1,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,23925,60,5858,2392.5,1827.295223365216,2392.5,0.0014163017272949,10,3339007.833333333
19.6,6,62.72,12750.194552529185,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0,98,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.02,0.0,0.0,0.98,0.98,6000,60,60,60.0,0.0,60.0,7.843017578125e-05,100,0.0
20.2,6,65.71,16420.561406256118,0.0,1.0,0.0,0.0,0.01,0.0,0.0,1,100,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6014,60,74,60.14,1.3999999999999992,60.14,6.089925765991211e-05,100,1.9599999999999984
20.0,6,64.0,53478.311870457735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.870870590209961e-05,100,0.0
20.0,6,64.0,6273.54502894237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0001593995094299,100,0.0
19.8,6,63.36,25746.14204161807,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0,99,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,0.0,0.99,0.99,6000,60,60,60.0,0.0,60.0,3.8840770721435546e-05,100,0.0
26.4,6,162.0,228.1645886372044,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.1,0.0,1.0,1.0,665,60,77,66.5,4.143267631552018,66.5,0.0046033859252929,10,17.166666666666668
20.0,6,64.0,54260.07761966365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.842975616455078e-05,100,0.0
20.0,6,64.0,36167.146675864446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.7649402618408203e-05,100,0.0
20.0,6,64.0,15295.39785573627,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,6.537914276123048e-05,100,0.0
32.0,6,231.0,6963.81205379379,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,660,66,66,66.0,0.0,66.0,0.0001436948776245,10,0.0
28.8,6,108.9,104.29181689335356,0.0,0.0,0.0,0.4,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.9,0.9,9990,60,3495,999.0,1084.2592965809529,999.0,0.0095887899398803,10,1175618.2222222222
20.0,6,64.0,17035.47378254336,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,5.897998809814453e-05,100,0.0
20.0,6,64.0,29959.314285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.339052200317383e-05,100,0.0
20.0,6,64.0,13220.816390858943,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,7.56382942199707e-05,100,0.0
22.4,6,147.8,47.03051940625189,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,1034,60,214,103.4,64.97213077757091,103.4,0.0224866867065429,10,4221.377777777778
20.0,6,64.0,25478.70246628599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.924846649169922e-05,100,0.0
20.0,6,64.0,26616.98185048864,0.0,0.0,0.25,0.0,0.25,0.0,0.0,25,0,0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.756999969482422e-05,100,0.0
20.0,6,64.0,34495.468377333666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.8989315032958985e-05,100,0.0
43.2,6,99.4,15224.33393829401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9148,94,1462,914.8,706.4321623482327,914.8,6.589889526367187e-05,10,499046.3999999999
22.4,6,149.3,24.896621807717512,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,3964,60,1514,396.4,593.040227228399,396.4,0.0432178020477294,10,351696.71111111104
20.0,6,64.0,77399.96309282155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.2919902801513671e-05,100,0.0
20.0,6,64.0,53308.38840874428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.875877380371094e-05,100,0.0
